DATE,SHARE_CODE,ISSUER_NAME,INVESTOR_NAME,INVESTOR_TYPE,LOCAL_FOREIGN,NATIONALITY,DOMICILE,HOLDINGS_SCRIPLESS,HOLDINGS_SCRIP,TOTAL_HOLDING_SHARES,PERCENTAGE,ISSUER_NAME_CLEAN,INVESTOR_NAME_CLEAN,SOURCE_DATE_STR
2026-02-27,ENZO,MORENZO ABADI PERKASA Tbk,YANI SUNARTI,ID,D,INDONESIAN,INDONESIA,83791500,0,83791500,3.87,Morenzo Abadi Perkasa,Yani Sunarti,2026-03-10
2026-02-27,ENZO,MORENZO ABADI PERKASA Tbk,BONA HUTABARAT,ID,D,INDONESIAN,INDONESIA,80026300,0,80026300,3.7,Morenzo Abadi Perkasa,Bona Hutabarat,2026-03-10
2026-02-27,EPAC,MEGALESTARI EPACK SENTOSARAYA Tbk,PT OMNI MULTI INDUSTRINDO,CP,D,,INDONESIA,800000000,0,800000000,24.22,Megalestari Epack Sentosaraya,Omni Multi Industrindo,2026-03-10
2026-02-27,EPAC,MEGALESTARI EPACK SENTOSARAYA Tbk,RYAN PERMANA,ID,D,INDONESIAN,INDONESIA,664799600,0,664799600,20.12,Megalestari Epack Sentosaraya,Ryan Permana,2026-03-10
2026-02-27,EPAC,MEGALESTARI EPACK SENTOSARAYA Tbk,NESSY SARINDA,ID,D,INDONESIAN,INDONESIA,476871500,0,476871500,14.44,Megalestari Epack Sentosaraya,Nessy Sarinda,2026-03-10
2026-02-27,EPAC,MEGALESTARI EPACK SENTOSARAYA Tbk,SUHANDA WIJAYA,ID,D,INDONESIAN,INDONESIA,225400000,0,225400000,6.82,Megalestari Epack Sentosaraya,Suhanda Wijaya,2026-03-10
2026-02-27,EPAC,MEGALESTARI EPACK SENTOSARAYA Tbk,BAHAR,ID,D,INDONESIAN,INDONESIA,181760000,0,181760000,5.5,Megalestari Epack Sentosaraya,Bahar,2026-03-10
2026-02-27,EPAC,MEGALESTARI EPACK SENTOSARAYA Tbk,PT BINTANG SAMPURNA CEMERLANG,CP,D,,INDONESIA,72000000,0,72000000,2.18,Megalestari Epack Sentosaraya,Bintang Sampurna Cemerlang,2026-03-10
2026-02-27,EPAC,MEGALESTARI EPACK SENTOSARAYA Tbk,"SALIM, LIM",ID,D,INDONESIAN,INDONESIA,70445900,0,70445900,2.13,Megalestari Epack Sentosaraya,Salim Lim,2026-03-10
2026-02-27,EPAC,MEGALESTARI EPACK SENTOSARAYA Tbk,SAKINAH JULIANI UTAMI,ID,D,INDONESIAN,INDONESIA,60000000,0,60000000,1.82,Megalestari Epack Sentosaraya,Sakinah Juliani Utami,2026-03-10
2026-02-27,EPAC,MEGALESTARI EPACK SENTOSARAYA Tbk,NICKY GUNHADI,ID,D,INDONESIAN,INDONESIA,57300000,0,57300000,1.73,Megalestari Epack Sentosaraya,Nicky Gunhadi,2026-03-10
